Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
Rank,Theta_PR,Na,University,CC,LC,FC
1,2272,24,University of Cambridge,UK,EN,13
2,2247,24,University of Oxford,UK,EN,11
3,2112,22,Harvard University,US,EN,17
4,2025,23,Columbia University,US,EN,18
5,1887,23,Princeton University,US,EN,18
6,1869,21,Massachusetts Institute of Technology,US,EN,19
7,1783,22,University of Chicago,US,EN,19
8,1765,21,Stanford University,US,EN,19
9,1716,20,Yale University,US,EN,18
10,1557,19,"University of California, Berkeley",US,EN,19
11,1531,21,Humboldt University of Berlin,DE,DE,19
12,1481,22,Cornell University,US,EN,19
13,1351,20,University of Pennsylvania,US,EN,18
14,1285,20,University of London,UK,EN,19
15,1224,19,Uppsala University,SE,SV,15
16,1209,20,University of Edinburgh,UK,EN,16
17,1195,20,Heidelberg University,DE,DE,14
18,1193,18,"University of California, Los Angeles",US,EN,19
19,1171,20,New York University,US,EN,19
20,1131,18,University of Michigan,US,EN,19
21,1119,19,Johns Hopkins University,US,EN,19
22,1113,19,University of Vienna,AT,DE,14
23,1099,18,University of Göttingen,DE,DE,18
24,1030,16,London School of Economics,UK,EN,19
25,990,19,Moscow State University,RU,RU,18
26,974,19,University of Bologna,IT,IT,11
27,948,18,Leipzig University,DE,DE,15
28,928,15,California Institute of Technology,US,EN,19
29,911,18,Ludwig Maximilian University of Munich,DE,DE,15
30,764,15,University of Southern California,US,EN,19
31,752,17,University of Tokyo,JP,JA,19
32,743,15,Leiden University,NL,NL,16
33,707,11,Lund University,SE,SV,17
34,680,13,Charles University in Prague,CZ,WR,14
35,668,12,University College London,UK,EN,19
36,577,11,University of Copenhagen,DK,DA,15
37,576,11,École Normale Supérieure,FR,FR,18
38,570,14,University of Manchester,UK,EN,19
39,556,13,École Polytechnique,FR,FR,18
40,538,14,University of Bonn,DE,DE,19
41,523,11,University of Texas at Austin,US,EN,19
42,519,15,Duke University,US,EN,19
43,507,15,Carnegie Mellon University,US,EN,19
44,505,9,Al-Azhar University,EG,AR,20
45,490,10,University of Helsinki,FI,WR,17
46,487,15,University of Virginia,US,EN,19
47,483,12,Hebrew University of Jerusalem,IL,HE,20
48,470,12,University of Toronto,CA,EN,19
49,460,9,King's College London,UK,EN,16
50,450,9,Imperial College London,UK,EN,20
51,447,11,University of Illinois at Urbana–Champaign,US,EN,19
52,429,10,Sapienza University of Rome,IT,IT,14
53,428,8,ETH Zurich,CH,DE,19
54,426,12,University of Zurich,CH,DE,16
55,389,12,University of Washington,US,EN,19
56,377,12,University of Minnesota,US,EN,19
57,373,12,Georgetown University,US,EN,18
58,373,10,University of Wisconsin–Madison,US,EN,19
59,361,10,McGill University,CA,EN,19
60,351,9,University of Glasgow,UK,EN,15
61,346,8,University of Oslo,NO,WR,19
62,346,7,Peking University,CN,ZH,19
63,344,6,Michigan State University,US,EN,19
64,340,13,Brown University,US,EN,18
65,338,8,University of Tübingen,DE,DE,15
66,332,8,Jagiellonian University,PL,PL,14
67,327,8,Saint Petersburg State University,RU,RU,18
68,324,8,Free University of Berlin,DE,DE,20
69,324,5,Kyoto University,JP,JA,19
70,317,9,University of Padua,IT,IT,13
71,314,7,Karolinska Institutet,SE,SV,19
72,301,5,Waseda University,JP,JA,19
73,300,5,University of Florida,US,EN,19
74,298,6,University of Geneva,CH,DE,16
75,295,6,Ohio State University,US,EN,19
76,273,7,University of Jena,DE,DE,16
77,269,5,Keio University,JP,JA,19
78,262,9,University of Arizona,US,EN,19
79,261,6,"University of Maryland, College Park",US,EN,19
80,260,6,Stockholm University,SE,SV,19
81,248,5,"Trinity College, Dublin",IE,EN,16
82,247,7,Boston University,US,EN,19
83,245,6,University of Strasbourg,FR,FR,16
84,239,6,University of Tartu,EE,WR,17
85,236,7,Rutgers University,US,EN,18
86,234,4,Institut Polytechnique des Sciences Avancées,FR,FR,20
87,232,6,University of Warsaw,PL,PL,19
